# Example Prompt E2e Coverage Report
# Generated: 2026-05-11 14:44:28 UTC
# E2e source: C:\Users\diberry\project-dina-content-gen-cli\repos\microsoft-mcp-doc-generation\generated-azurebackup\e2e-test-prompts\parsed.json
#
# MATCH: 0 tools had e2e reference prompts
# MISS:  16 tools had NO e2e reference prompts (used default 5)
# TOTAL: 16 tools processed
#
# STATUS | TOOL COMMAND                                            | DETAILS
# --------------------------------------------------------------------------------
MISS   | azurebackup backup status                               | no e2e entry — using default (5 prompts)
MISS   | azurebackup disasterrecovery enable-crr                 | no e2e entry — using default (5 prompts)
MISS   | azurebackup governance find-unprotected                 | no e2e entry — using default (5 prompts)
MISS   | azurebackup governance immutability                     | no e2e entry — using default (5 prompts)
MISS   | azurebackup governance soft-delete                      | no e2e entry — using default (5 prompts)
MISS   | azurebackup job get                                     | no e2e entry — using default (5 prompts)
MISS   | azurebackup policy create                               | no e2e entry — using default (5 prompts)
MISS   | azurebackup policy get                                  | no e2e entry — using default (5 prompts)
MISS   | azurebackup protectableitem list                        | no e2e entry — using default (5 prompts)
MISS   | azurebackup protecteditem get                           | no e2e entry — using default (5 prompts)
MISS   | azurebackup protecteditem protect                       | no e2e entry — using default (5 prompts)
MISS   | azurebackup protecteditem undelete                      | no e2e entry — using default (5 prompts)
MISS   | azurebackup recoverypoint get                           | no e2e entry — using default (5 prompts)
MISS   | azurebackup vault create                                | no e2e entry — using default (5 prompts)
MISS   | azurebackup vault get                                   | no e2e entry — using default (5 prompts)
MISS   | azurebackup vault update                                | no e2e entry — using default (5 prompts)
